2024-09-27 08:19:17,269 - INFO - objects_num_before_nms: 30, objects_num_after_nms: 3, person_num_after_nms: 3, car_num_after_nms: 0 -> _objects_num_before_nms: 9175, _objects_num_after_nms: 458, _person_num_after_nms: 458, _car_num_after_nms: 0
2024-09-27 08:20:13,778 - INFO - objects_num_before_nms: 19, objects_num_after_nms: 3, person_num_after_nms: 2, car_num_after_nms: 0 -> _objects_num_before_nms: 7066, _objects_num_after_nms: 346, _person_num_after_nms: 343, _car_num_after_nms: 0
2024-09-27 08:21:44,329 - INFO - objects_num_before_nms: 10, objects_num_after_nms: 2, person_num_after_nms: 2, car_num_after_nms: 0 -> _objects_num_before_nms: 8847, _objects_num_after_nms: 438, _person_num_after_nms: 436, _car_num_after_nms: 1
2024-09-27 08:24:29,959 - INFO - objects_num_before_nms: 22, objects_num_after_nms: 3, person_num_after_nms: 2, car_num_after_nms: 1 -> _objects_num_before_nms: 10057, _objects_num_after_nms: 485, _person_num_after_nms: 484, _car_num_after_nms: 0
2024-09-27 08:26:37,432 - INFO - objects_num_before_nms: 25, objects_num_after_nms: 5, person_num_after_nms: 3, car_num_after_nms: 1 -> _objects_num_before_nms: 9527, _objects_num_after_nms: 444, _person_num_after_nms: 443, _car_num_after_nms: 0
2024-09-27 08:28:08,995 - INFO - objects_num_before_nms: 71, objects_num_after_nms: 7, person_num_after_nms: 4, car_num_after_nms: 1 -> _objects_num_before_nms: 8429, _objects_num_after_nms: 407, _person_num_after_nms: 406, _car_num_after_nms: 1
2024-09-27 08:29:04,047 - INFO - objects_num_before_nms: 65, objects_num_after_nms: 6, person_num_after_nms: 5, car_num_after_nms: 0 -> _objects_num_before_nms: 10375, _objects_num_after_nms: 490, _person_num_after_nms: 490, _car_num_after_nms: 0
2024-09-27 08:29:59,276 - INFO - objects_num_before_nms: 70, objects_num_after_nms: 7, person_num_after_nms: 5, car_num_after_nms: 0 -> _objects_num_before_nms: 13131, _objects_num_after_nms: 634, _person_num_after_nms: 634, _car_num_after_nms: 0
2024-09-27 08:30:54,220 - INFO - objects_num_before_nms: 73, objects_num_after_nms: 5, person_num_after_nms: 4, car_num_after_nms: 0 -> _objects_num_before_nms: 9079, _objects_num_after_nms: 442, _person_num_after_nms: 441, _car_num_after_nms: 1
2024-09-27 08:31:48,759 - INFO - objects_num_before_nms: 56, objects_num_after_nms: 7, person_num_after_nms: 6, car_num_after_nms: 0 -> _objects_num_before_nms: 10463, _objects_num_after_nms: 528, _person_num_after_nms: 526, _car_num_after_nms: 0
2024-09-27 08:32:43,760 - INFO - objects_num_before_nms: 53, objects_num_after_nms: 6, person_num_after_nms: 4, car_num_after_nms: 0 -> _objects_num_before_nms: 8126, _objects_num_after_nms: 387, _person_num_after_nms: 385, _car_num_after_nms: 1
2024-09-27 08:33:38,313 - INFO - objects_num_before_nms: 40, objects_num_after_nms: 5, person_num_after_nms: 5, car_num_after_nms: 0 -> _objects_num_before_nms: 9446, _objects_num_after_nms: 455, _person_num_after_nms: 454, _car_num_after_nms: 0
2024-09-27 08:34:33,074 - INFO - objects_num_before_nms: 47, objects_num_after_nms: 5, person_num_after_nms: 5, car_num_after_nms: 0 -> _objects_num_before_nms: 9957, _objects_num_after_nms: 479, _person_num_after_nms: 479, _car_num_after_nms: 0
2024-09-27 08:35:28,327 - INFO - objects_num_before_nms: 53, objects_num_after_nms: 5, person_num_after_nms: 5, car_num_after_nms: 0 -> _objects_num_before_nms: 9179, _objects_num_after_nms: 462, _person_num_after_nms: 460, _car_num_after_nms: 0
2024-09-27 08:36:23,496 - INFO - objects_num_before_nms: 54, objects_num_after_nms: 6, person_num_after_nms: 5, car_num_after_nms: 0 -> _objects_num_before_nms: 10396, _objects_num_after_nms: 494, _person_num_after_nms: 492, _car_num_after_nms: 0
2024-09-27 08:37:18,659 - INFO - objects_num_before_nms: 15, objects_num_after_nms: 3, person_num_after_nms: 3, car_num_after_nms: 0 -> _objects_num_before_nms: 8707, _objects_num_after_nms: 403, _person_num_after_nms: 402, _car_num_after_nms: 1
