2024-09-26 21:35:12,254 - INFO - objects_num_before_nms: 57, objects_num_after_nms: 4, person_num_after_nms: 2, car_num_after_nms: 2 -> _objects_num_before_nms: 9695, _objects_num_after_nms: 635, _person_num_after_nms: 633, _car_num_after_nms: 2
2024-09-26 21:35:19,397 - INFO - objects_num_before_nms: 61, objects_num_after_nms: 4, person_num_after_nms: 2, car_num_after_nms: 2 -> _objects_num_before_nms: 9245, _objects_num_after_nms: 678, _person_num_after_nms: 677, _car_num_after_nms: 0
2024-09-26 21:35:25,047 - INFO - objects_num_before_nms: 95, objects_num_after_nms: 8, person_num_after_nms: 3, car_num_after_nms: 5 -> _objects_num_before_nms: 9782, _objects_num_after_nms: 592, _person_num_after_nms: 585, _car_num_after_nms: 0
2024-09-26 21:35:31,956 - INFO - objects_num_before_nms: 100, objects_num_after_nms: 8, person_num_after_nms: 5, car_num_after_nms: 3 -> _objects_num_before_nms: 9017, _objects_num_after_nms: 524, _person_num_after_nms: 524, _car_num_after_nms: 0
2024-09-26 21:35:38,835 - INFO - objects_num_before_nms: 132, objects_num_after_nms: 10, person_num_after_nms: 6, car_num_after_nms: 3 -> _objects_num_before_nms: 9502, _objects_num_after_nms: 556, _person_num_after_nms: 554, _car_num_after_nms: 0
2024-09-26 21:35:44,449 - INFO - objects_num_before_nms: 113, objects_num_after_nms: 10, person_num_after_nms: 6, car_num_after_nms: 3 -> _objects_num_before_nms: 10344, _objects_num_after_nms: 556, _person_num_after_nms: 555, _car_num_after_nms: 0
2024-09-26 21:35:49,774 - INFO - objects_num_before_nms: 124, objects_num_after_nms: 11, person_num_after_nms: 6, car_num_after_nms: 4 -> _objects_num_before_nms: 10071, _objects_num_after_nms: 587, _person_num_after_nms: 585, _car_num_after_nms: 0
2024-09-26 21:35:55,220 - INFO - objects_num_before_nms: 171, objects_num_after_nms: 12, person_num_after_nms: 7, car_num_after_nms: 4 -> _objects_num_before_nms: 10078, _objects_num_after_nms: 564, _person_num_after_nms: 560, _car_num_after_nms: 0
2024-09-26 21:36:00,740 - INFO - objects_num_before_nms: 125, objects_num_after_nms: 11, person_num_after_nms: 7, car_num_after_nms: 3 -> _objects_num_before_nms: 9017, _objects_num_after_nms: 558, _person_num_after_nms: 557, _car_num_after_nms: 1
2024-09-26 21:36:06,285 - INFO - objects_num_before_nms: 133, objects_num_after_nms: 12, person_num_after_nms: 9, car_num_after_nms: 2 -> _objects_num_before_nms: 10592, _objects_num_after_nms: 646, _person_num_after_nms: 645, _car_num_after_nms: 0
2024-09-26 21:36:11,819 - INFO - objects_num_before_nms: 154, objects_num_after_nms: 10, person_num_after_nms: 9, car_num_after_nms: 1 -> _objects_num_before_nms: 9140, _objects_num_after_nms: 606, _person_num_after_nms: 600, _car_num_after_nms: 0
2024-09-26 21:36:17,369 - INFO - objects_num_before_nms: 138, objects_num_after_nms: 9, person_num_after_nms: 6, car_num_after_nms: 3 -> _objects_num_before_nms: 8748, _objects_num_after_nms: 544, _person_num_after_nms: 540, _car_num_after_nms: 4
2024-09-26 21:36:23,144 - INFO - objects_num_before_nms: 147, objects_num_after_nms: 11, person_num_after_nms: 7, car_num_after_nms: 3 -> _objects_num_before_nms: 9844, _objects_num_after_nms: 610, _person_num_after_nms: 609, _car_num_after_nms: 0
2024-09-26 21:36:28,974 - INFO - objects_num_before_nms: 139, objects_num_after_nms: 11, person_num_after_nms: 8, car_num_after_nms: 2 -> _objects_num_before_nms: 9052, _objects_num_after_nms: 557, _person_num_after_nms: 556, _car_num_after_nms: 0
2024-09-26 21:36:34,406 - INFO - objects_num_before_nms: 128, objects_num_after_nms: 8, person_num_after_nms: 6, car_num_after_nms: 2 -> _objects_num_before_nms: 8584, _objects_num_after_nms: 590, _person_num_after_nms: 589, _car_num_after_nms: 0
2024-09-26 21:36:40,092 - INFO - objects_num_before_nms: 128, objects_num_after_nms: 8, person_num_after_nms: 6, car_num_after_nms: 2 -> _objects_num_before_nms: 9350, _objects_num_after_nms: 565, _person_num_after_nms: 565, _car_num_after_nms: 0
2024-09-26 21:36:45,702 - INFO - objects_num_before_nms: 110, objects_num_after_nms: 8, person_num_after_nms: 6, car_num_after_nms: 2 -> _objects_num_before_nms: 9445, _objects_num_after_nms: 555, _person_num_after_nms: 553, _car_num_after_nms: 0
2024-09-26 21:36:51,317 - INFO - objects_num_before_nms: 80, objects_num_after_nms: 6, person_num_after_nms: 5, car_num_after_nms: 1 -> _objects_num_before_nms: 9858, _objects_num_after_nms: 547, _person_num_after_nms: 544, _car_num_after_nms: 0
2024-09-26 21:36:56,611 - INFO - objects_num_before_nms: 83, objects_num_after_nms: 7, person_num_after_nms: 5, car_num_after_nms: 1 -> _objects_num_before_nms: 9943, _objects_num_after_nms: 557, _person_num_after_nms: 557, _car_num_after_nms: 0
2024-09-26 21:37:02,143 - INFO - objects_num_before_nms: 65, objects_num_after_nms: 6, person_num_after_nms: 5, car_num_after_nms: 1 -> _objects_num_before_nms: 9142, _objects_num_after_nms: 499, _person_num_after_nms: 496, _car_num_after_nms: 0
2024-09-26 21:37:07,704 - INFO - objects_num_before_nms: 70, objects_num_after_nms: 5, person_num_after_nms: 4, car_num_after_nms: 1 -> _objects_num_before_nms: 8946, _objects_num_after_nms: 511, _person_num_after_nms: 510, _car_num_after_nms: 0
2024-09-26 21:37:13,636 - INFO - objects_num_before_nms: 42, objects_num_after_nms: 5, person_num_after_nms: 4, car_num_after_nms: 1 -> _objects_num_before_nms: 9662, _objects_num_after_nms: 538, _person_num_after_nms: 537, _car_num_after_nms: 0
2024-09-26 21:37:19,408 - INFO - objects_num_before_nms: 38, objects_num_after_nms: 4, person_num_after_nms: 3, car_num_after_nms: 1 -> _objects_num_before_nms: 10998, _objects_num_after_nms: 555, _person_num_after_nms: 554, _car_num_after_nms: 0
2024-09-26 21:37:24,976 - INFO - objects_num_before_nms: 37, objects_num_after_nms: 4, person_num_after_nms: 3, car_num_after_nms: 1 -> _objects_num_before_nms: 7527, _objects_num_after_nms: 389, _person_num_after_nms: 379, _car_num_after_nms: 1
2024-09-26 21:37:30,389 - INFO - objects_num_before_nms: 46, objects_num_after_nms: 6, person_num_after_nms: 3, car_num_after_nms: 2 -> _objects_num_before_nms: 8364, _objects_num_after_nms: 455, _person_num_after_nms: 454, _car_num_after_nms: 0
2024-09-26 21:37:35,920 - INFO - objects_num_before_nms: 34, objects_num_after_nms: 4, person_num_after_nms: 3, car_num_after_nms: 1 -> _objects_num_before_nms: 8518, _objects_num_after_nms: 565, _person_num_after_nms: 565, _car_num_after_nms: 0
2024-09-26 21:37:41,483 - INFO - objects_num_before_nms: 24, objects_num_after_nms: 4, person_num_after_nms: 3, car_num_after_nms: 1 -> _objects_num_before_nms: 9770, _objects_num_after_nms: 531, _person_num_after_nms: 529, _car_num_after_nms: 1
2024-09-26 21:37:46,977 - INFO - objects_num_before_nms: 26, objects_num_after_nms: 4, person_num_after_nms: 3, car_num_after_nms: 1 -> _objects_num_before_nms: 9782, _objects_num_after_nms: 534, _person_num_after_nms: 533, _car_num_after_nms: 1
2024-09-26 21:37:52,550 - INFO - objects_num_before_nms: 35, objects_num_after_nms: 4, person_num_after_nms: 3, car_num_after_nms: 0 -> _objects_num_before_nms: 8542, _objects_num_after_nms: 530, _person_num_after_nms: 527, _car_num_after_nms: 0
2024-09-26 21:37:58,348 - INFO - objects_num_before_nms: 31, objects_num_after_nms: 6, person_num_after_nms: 3, car_num_after_nms: 2 -> _objects_num_before_nms: 9499, _objects_num_after_nms: 500, _person_num_after_nms: 498, _car_num_after_nms: 0
2024-09-26 21:38:03,939 - INFO - objects_num_before_nms: 35, objects_num_after_nms: 5, person_num_after_nms: 3, car_num_after_nms: 1 -> _objects_num_before_nms: 9304, _objects_num_after_nms: 587, _person_num_after_nms: 586, _car_num_after_nms: 1
2024-09-26 21:38:09,488 - INFO - objects_num_before_nms: 43, objects_num_after_nms: 6, person_num_after_nms: 5, car_num_after_nms: 1 -> _objects_num_before_nms: 8394, _objects_num_after_nms: 510, _person_num_after_nms: 509, _car_num_after_nms: 0
2024-09-26 21:38:15,060 - INFO - objects_num_before_nms: 69, objects_num_after_nms: 7, person_num_after_nms: 5, car_num_after_nms: 1 -> _objects_num_before_nms: 9484, _objects_num_after_nms: 553, _person_num_after_nms: 552, _car_num_after_nms: 0
2024-09-26 21:38:20,475 - INFO - objects_num_before_nms: 76, objects_num_after_nms: 7, person_num_after_nms: 6, car_num_after_nms: 0 -> _objects_num_before_nms: 10161, _objects_num_after_nms: 637, _person_num_after_nms: 637, _car_num_after_nms: 0
2024-09-26 21:38:26,012 - INFO - objects_num_before_nms: 75, objects_num_after_nms: 7, person_num_after_nms: 6, car_num_after_nms: 0 -> _objects_num_before_nms: 9105, _objects_num_after_nms: 603, _person_num_after_nms: 602, _car_num_after_nms: 0
2024-09-26 21:38:31,310 - INFO - objects_num_before_nms: 85, objects_num_after_nms: 8, person_num_after_nms: 6, car_num_after_nms: 2 -> _objects_num_before_nms: 9099, _objects_num_after_nms: 541, _person_num_after_nms: 541, _car_num_after_nms: 0
2024-09-26 21:38:36,810 - INFO - objects_num_before_nms: 110, objects_num_after_nms: 10, person_num_after_nms: 6, car_num_after_nms: 3 -> _objects_num_before_nms: 8905, _objects_num_after_nms: 494, _person_num_after_nms: 494, _car_num_after_nms: 0
2024-09-26 21:38:42,212 - INFO - objects_num_before_nms: 88, objects_num_after_nms: 7, person_num_after_nms: 5, car_num_after_nms: 1 -> _objects_num_before_nms: 8381, _objects_num_after_nms: 598, _person_num_after_nms: 597, _car_num_after_nms: 0
2024-09-26 21:38:47,718 - INFO - objects_num_before_nms: 69, objects_num_after_nms: 9, person_num_after_nms: 8, car_num_after_nms: 1 -> _objects_num_before_nms: 8863, _objects_num_after_nms: 574, _person_num_after_nms: 572, _car_num_after_nms: 2
