2024-09-26 21:49:33,921 - INFO - objects_num_before_nms: 57, objects_num_after_nms: 4, person_num_after_nms: 2, car_num_after_nms: 2 -> _objects_num_before_nms: 8165, _objects_num_after_nms: 413, _person_num_after_nms: 413, _car_num_after_nms: 0
2024-09-26 21:50:29,964 - INFO - objects_num_before_nms: 61, objects_num_after_nms: 4, person_num_after_nms: 2, car_num_after_nms: 2 -> _objects_num_before_nms: 6290, _objects_num_after_nms: 285, _person_num_after_nms: 285, _car_num_after_nms: 0
2024-09-26 21:51:26,649 - INFO - objects_num_before_nms: 95, objects_num_after_nms: 8, person_num_after_nms: 3, car_num_after_nms: 5 -> _objects_num_before_nms: 13620, _objects_num_after_nms: 851, _person_num_after_nms: 850, _car_num_after_nms: 0
2024-09-26 21:52:22,587 - INFO - objects_num_before_nms: 100, objects_num_after_nms: 8, person_num_after_nms: 5, car_num_after_nms: 3 -> _objects_num_before_nms: 8623, _objects_num_after_nms: 450, _person_num_after_nms: 449, _car_num_after_nms: 1
2024-09-26 21:53:17,988 - INFO - objects_num_before_nms: 132, objects_num_after_nms: 10, person_num_after_nms: 6, car_num_after_nms: 3 -> _objects_num_before_nms: 7605, _objects_num_after_nms: 367, _person_num_after_nms: 365, _car_num_after_nms: 0
2024-09-26 21:54:12,525 - INFO - objects_num_before_nms: 113, objects_num_after_nms: 10, person_num_after_nms: 6, car_num_after_nms: 3 -> _objects_num_before_nms: 8740, _objects_num_after_nms: 439, _person_num_after_nms: 438, _car_num_after_nms: 0
2024-09-26 21:55:06,872 - INFO - objects_num_before_nms: 124, objects_num_after_nms: 11, person_num_after_nms: 6, car_num_after_nms: 4 -> _objects_num_before_nms: 6621, _objects_num_after_nms: 311, _person_num_after_nms: 308, _car_num_after_nms: 2
2024-09-26 21:56:01,469 - INFO - objects_num_before_nms: 171, objects_num_after_nms: 12, person_num_after_nms: 7, car_num_after_nms: 4 -> _objects_num_before_nms: 7323, _objects_num_after_nms: 351, _person_num_after_nms: 344, _car_num_after_nms: 3
2024-09-26 21:56:56,010 - INFO - objects_num_before_nms: 125, objects_num_after_nms: 11, person_num_after_nms: 7, car_num_after_nms: 3 -> _objects_num_before_nms: 7365, _objects_num_after_nms: 338, _person_num_after_nms: 336, _car_num_after_nms: 0
2024-09-26 21:57:47,439 - INFO - objects_num_before_nms: 133, objects_num_after_nms: 12, person_num_after_nms: 9, car_num_after_nms: 2 -> _objects_num_before_nms: 7317, _objects_num_after_nms: 340, _person_num_after_nms: 340, _car_num_after_nms: 0
2024-09-26 21:58:42,649 - INFO - objects_num_before_nms: 154, objects_num_after_nms: 10, person_num_after_nms: 9, car_num_after_nms: 1 -> _objects_num_before_nms: 13252, _objects_num_after_nms: 918, _person_num_after_nms: 910, _car_num_after_nms: 0
2024-09-26 21:59:36,976 - INFO - objects_num_before_nms: 138, objects_num_after_nms: 9, person_num_after_nms: 6, car_num_after_nms: 3 -> _objects_num_before_nms: 6986, _objects_num_after_nms: 331, _person_num_after_nms: 320, _car_num_after_nms: 1
