2024-09-27 20:42:34,828 - INFO - objects_num_before_nms: 57, objects_num_after_nms: 4, person_num_after_nms: 2, car_num_after_nms: 2 -> _objects_num_before_nms: 11049, _objects_num_after_nms: 676, _person_num_after_nms: 676, _car_num_after_nms: 0
2024-09-27 20:42:51,289 - INFO - objects_num_before_nms: 61, objects_num_after_nms: 4, person_num_after_nms: 2, car_num_after_nms: 2 -> _objects_num_before_nms: 10574, _objects_num_after_nms: 645, _person_num_after_nms: 645, _car_num_after_nms: 0
2024-09-27 20:43:09,900 - INFO - objects_num_before_nms: 95, objects_num_after_nms: 8, person_num_after_nms: 3, car_num_after_nms: 5 -> _objects_num_before_nms: 10965, _objects_num_after_nms: 664, _person_num_after_nms: 661, _car_num_after_nms: 0
2024-09-27 20:43:28,178 - INFO - objects_num_before_nms: 100, objects_num_after_nms: 8, person_num_after_nms: 5, car_num_after_nms: 3 -> _objects_num_before_nms: 10479, _objects_num_after_nms: 636, _person_num_after_nms: 635, _car_num_after_nms: 0
2024-09-27 20:43:46,478 - INFO - objects_num_before_nms: 132, objects_num_after_nms: 10, person_num_after_nms: 6, car_num_after_nms: 3 -> _objects_num_before_nms: 11212, _objects_num_after_nms: 659, _person_num_after_nms: 658, _car_num_after_nms: 0
2024-09-27 20:44:05,045 - INFO - objects_num_before_nms: 113, objects_num_after_nms: 10, person_num_after_nms: 6, car_num_after_nms: 3 -> _objects_num_before_nms: 11480, _objects_num_after_nms: 690, _person_num_after_nms: 690, _car_num_after_nms: 0
2024-09-27 20:44:23,496 - INFO - objects_num_before_nms: 124, objects_num_after_nms: 11, person_num_after_nms: 6, car_num_after_nms: 4 -> _objects_num_before_nms: 11307, _objects_num_after_nms: 714, _person_num_after_nms: 713, _car_num_after_nms: 0
2024-09-27 20:44:42,451 - INFO - objects_num_before_nms: 171, objects_num_after_nms: 12, person_num_after_nms: 7, car_num_after_nms: 4 -> _objects_num_before_nms: 10892, _objects_num_after_nms: 671, _person_num_after_nms: 670, _car_num_after_nms: 0
2024-09-27 20:45:01,206 - INFO - objects_num_before_nms: 125, objects_num_after_nms: 11, person_num_after_nms: 7, car_num_after_nms: 3 -> _objects_num_before_nms: 10857, _objects_num_after_nms: 668, _person_num_after_nms: 667, _car_num_after_nms: 0
2024-09-27 20:45:19,594 - INFO - objects_num_before_nms: 133, objects_num_after_nms: 12, person_num_after_nms: 9, car_num_after_nms: 2 -> _objects_num_before_nms: 10932, _objects_num_after_nms: 670, _person_num_after_nms: 669, _car_num_after_nms: 0
2024-09-27 20:45:38,365 - INFO - objects_num_before_nms: 154, objects_num_after_nms: 10, person_num_after_nms: 9, car_num_after_nms: 1 -> _objects_num_before_nms: 11117, _objects_num_after_nms: 683, _person_num_after_nms: 681, _car_num_after_nms: 0
2024-09-27 20:45:57,100 - INFO - objects_num_before_nms: 138, objects_num_after_nms: 9, person_num_after_nms: 6, car_num_after_nms: 3 -> _objects_num_before_nms: 10754, _objects_num_after_nms: 670, _person_num_after_nms: 669, _car_num_after_nms: 0
2024-09-27 20:46:17,691 - INFO - objects_num_before_nms: 147, objects_num_after_nms: 11, person_num_after_nms: 7, car_num_after_nms: 3 -> _objects_num_before_nms: 10837, _objects_num_after_nms: 698, _person_num_after_nms: 696, _car_num_after_nms: 0
2024-09-27 20:46:36,749 - INFO - objects_num_before_nms: 139, objects_num_after_nms: 11, person_num_after_nms: 8, car_num_after_nms: 2 -> _objects_num_before_nms: 11339, _objects_num_after_nms: 721, _person_num_after_nms: 720, _car_num_after_nms: 0
2024-09-27 20:46:55,300 - INFO - objects_num_before_nms: 128, objects_num_after_nms: 8, person_num_after_nms: 6, car_num_after_nms: 2 -> _objects_num_before_nms: 10881, _objects_num_after_nms: 663, _person_num_after_nms: 663, _car_num_after_nms: 0
2024-09-27 20:47:14,066 - INFO - objects_num_before_nms: 128, objects_num_after_nms: 8, person_num_after_nms: 6, car_num_after_nms: 2 -> _objects_num_before_nms: 11398, _objects_num_after_nms: 714, _person_num_after_nms: 712, _car_num_after_nms: 0
2024-09-27 20:47:32,287 - INFO - objects_num_before_nms: 110, objects_num_after_nms: 8, person_num_after_nms: 6, car_num_after_nms: 2 -> _objects_num_before_nms: 11039, _objects_num_after_nms: 704, _person_num_after_nms: 702, _car_num_after_nms: 0
