2024-09-27 20:35:29,800 - INFO - objects_num_before_nms: 57, objects_num_after_nms: 4, person_num_after_nms: 2, car_num_after_nms: 2 -> _objects_num_before_nms: 22964, _objects_num_after_nms: 2059, _person_num_after_nms: 2057, _car_num_after_nms: 1
2024-09-27 20:35:35,194 - INFO - objects_num_before_nms: 61, objects_num_after_nms: 4, person_num_after_nms: 2, car_num_after_nms: 2 -> _objects_num_before_nms: 23406, _objects_num_after_nms: 2274, _person_num_after_nms: 2273, _car_num_after_nms: 0
2024-09-27 20:35:40,643 - INFO - objects_num_before_nms: 95, objects_num_after_nms: 8, person_num_after_nms: 3, car_num_after_nms: 5 -> _objects_num_before_nms: 23522, _objects_num_after_nms: 2216, _person_num_after_nms: 2215, _car_num_after_nms: 0
2024-09-27 20:35:46,129 - INFO - objects_num_before_nms: 100, objects_num_after_nms: 8, person_num_after_nms: 5, car_num_after_nms: 3 -> _objects_num_before_nms: 23764, _objects_num_after_nms: 2191, _person_num_after_nms: 2187, _car_num_after_nms: 0
2024-09-27 20:35:51,534 - INFO - objects_num_before_nms: 132, objects_num_after_nms: 10, person_num_after_nms: 6, car_num_after_nms: 3 -> _objects_num_before_nms: 23978, _objects_num_after_nms: 2311, _person_num_after_nms: 2311, _car_num_after_nms: 0
2024-09-27 20:35:56,956 - INFO - objects_num_before_nms: 113, objects_num_after_nms: 10, person_num_after_nms: 6, car_num_after_nms: 3 -> _objects_num_before_nms: 23203, _objects_num_after_nms: 2214, _person_num_after_nms: 2214, _car_num_after_nms: 0
2024-09-27 20:36:02,373 - INFO - objects_num_before_nms: 124, objects_num_after_nms: 11, person_num_after_nms: 6, car_num_after_nms: 4 -> _objects_num_before_nms: 23698, _objects_num_after_nms: 2263, _person_num_after_nms: 2263, _car_num_after_nms: 0
2024-09-27 20:36:07,738 - INFO - objects_num_before_nms: 171, objects_num_after_nms: 12, person_num_after_nms: 7, car_num_after_nms: 4 -> _objects_num_before_nms: 24114, _objects_num_after_nms: 2372, _person_num_after_nms: 2372, _car_num_after_nms: 0
2024-09-27 20:36:13,124 - INFO - objects_num_before_nms: 125, objects_num_after_nms: 11, person_num_after_nms: 7, car_num_after_nms: 3 -> _objects_num_before_nms: 24273, _objects_num_after_nms: 2332, _person_num_after_nms: 2331, _car_num_after_nms: 0
2024-09-27 20:36:18,461 - INFO - objects_num_before_nms: 133, objects_num_after_nms: 12, person_num_after_nms: 9, car_num_after_nms: 2 -> _objects_num_before_nms: 24149, _objects_num_after_nms: 2296, _person_num_after_nms: 2294, _car_num_after_nms: 0
2024-09-27 20:36:23,831 - INFO - objects_num_before_nms: 154, objects_num_after_nms: 10, person_num_after_nms: 9, car_num_after_nms: 1 -> _objects_num_before_nms: 22692, _objects_num_after_nms: 2164, _person_num_after_nms: 2164, _car_num_after_nms: 0
2024-09-27 20:36:29,327 - INFO - objects_num_before_nms: 138, objects_num_after_nms: 9, person_num_after_nms: 6, car_num_after_nms: 3 -> _objects_num_before_nms: 24488, _objects_num_after_nms: 2369, _person_num_after_nms: 2366, _car_num_after_nms: 0
2024-09-27 20:36:34,559 - INFO - objects_num_before_nms: 147, objects_num_after_nms: 11, person_num_after_nms: 7, car_num_after_nms: 3 -> _objects_num_before_nms: 23826, _objects_num_after_nms: 2353, _person_num_after_nms: 2350, _car_num_after_nms: 0
2024-09-27 20:36:39,960 - INFO - objects_num_before_nms: 139, objects_num_after_nms: 11, person_num_after_nms: 8, car_num_after_nms: 2 -> _objects_num_before_nms: 22682, _objects_num_after_nms: 2056, _person_num_after_nms: 2056, _car_num_after_nms: 0
2024-09-27 20:36:45,444 - INFO - objects_num_before_nms: 128, objects_num_after_nms: 8, person_num_after_nms: 6, car_num_after_nms: 2 -> _objects_num_before_nms: 23651, _objects_num_after_nms: 2194, _person_num_after_nms: 2194, _car_num_after_nms: 0
2024-09-27 20:36:50,942 - INFO - objects_num_before_nms: 128, objects_num_after_nms: 8, person_num_after_nms: 6, car_num_after_nms: 2 -> _objects_num_before_nms: 23351, _objects_num_after_nms: 2340, _person_num_after_nms: 2340, _car_num_after_nms: 0
2024-09-27 20:36:56,328 - INFO - objects_num_before_nms: 110, objects_num_after_nms: 8, person_num_after_nms: 6, car_num_after_nms: 2 -> _objects_num_before_nms: 23573, _objects_num_after_nms: 2259, _person_num_after_nms: 2259, _car_num_after_nms: 0
2024-09-27 20:37:01,845 - INFO - objects_num_before_nms: 80, objects_num_after_nms: 6, person_num_after_nms: 5, car_num_after_nms: 1 -> _objects_num_before_nms: 23786, _objects_num_after_nms: 2121, _person_num_after_nms: 2119, _car_num_after_nms: 0
2024-09-27 20:37:07,166 - INFO - objects_num_before_nms: 83, objects_num_after_nms: 7, person_num_after_nms: 5, car_num_after_nms: 1 -> _objects_num_before_nms: 23194, _objects_num_after_nms: 2187, _person_num_after_nms: 2187, _car_num_after_nms: 0
2024-09-27 20:37:12,594 - INFO - objects_num_before_nms: 65, objects_num_after_nms: 6, person_num_after_nms: 5, car_num_after_nms: 1 -> _objects_num_before_nms: 22770, _objects_num_after_nms: 2208, _person_num_after_nms: 2207, _car_num_after_nms: 0
2024-09-27 20:37:17,907 - INFO - objects_num_before_nms: 70, objects_num_after_nms: 5, person_num_after_nms: 4, car_num_after_nms: 1 -> _objects_num_before_nms: 22827, _objects_num_after_nms: 2082, _person_num_after_nms: 2082, _car_num_after_nms: 0
2024-09-27 20:37:23,306 - INFO - objects_num_before_nms: 42, objects_num_after_nms: 5, person_num_after_nms: 4, car_num_after_nms: 1 -> _objects_num_before_nms: 22531, _objects_num_after_nms: 2075, _person_num_after_nms: 2075, _car_num_after_nms: 0
2024-09-27 20:37:28,600 - INFO - objects_num_before_nms: 38, objects_num_after_nms: 4, person_num_after_nms: 3, car_num_after_nms: 1 -> _objects_num_before_nms: 22047, _objects_num_after_nms: 2023, _person_num_after_nms: 2022, _car_num_after_nms: 1
2024-09-27 20:37:34,026 - INFO - objects_num_before_nms: 37, objects_num_after_nms: 4, person_num_after_nms: 3, car_num_after_nms: 1 -> _objects_num_before_nms: 23512, _objects_num_after_nms: 2114, _person_num_after_nms: 2114, _car_num_after_nms: 0
2024-09-27 20:37:39,558 - INFO - objects_num_before_nms: 46, objects_num_after_nms: 6, person_num_after_nms: 3, car_num_after_nms: 2 -> _objects_num_before_nms: 24195, _objects_num_after_nms: 2202, _person_num_after_nms: 2201, _car_num_after_nms: 0
2024-09-27 20:37:44,989 - INFO - objects_num_before_nms: 34, objects_num_after_nms: 4, person_num_after_nms: 3, car_num_after_nms: 1 -> _objects_num_before_nms: 23601, _objects_num_after_nms: 2157, _person_num_after_nms: 2157, _car_num_after_nms: 0
2024-09-27 20:37:50,377 - INFO - objects_num_before_nms: 24, objects_num_after_nms: 4, person_num_after_nms: 3, car_num_after_nms: 1 -> _objects_num_before_nms: 23274, _objects_num_after_nms: 2056, _person_num_after_nms: 2056, _car_num_after_nms: 0
2024-09-27 20:37:55,757 - INFO - objects_num_before_nms: 26, objects_num_after_nms: 4, person_num_after_nms: 3, car_num_after_nms: 1 -> _objects_num_before_nms: 24257, _objects_num_after_nms: 2100, _person_num_after_nms: 2100, _car_num_after_nms: 0
2024-09-27 20:38:01,170 - INFO - objects_num_before_nms: 35, objects_num_after_nms: 4, person_num_after_nms: 3, car_num_after_nms: 0 -> _objects_num_before_nms: 24459, _objects_num_after_nms: 2166, _person_num_after_nms: 2165, _car_num_after_nms: 0
2024-09-27 20:38:06,276 - INFO - objects_num_before_nms: 31, objects_num_after_nms: 6, person_num_after_nms: 3, car_num_after_nms: 2 -> _objects_num_before_nms: 24276, _objects_num_after_nms: 2154, _person_num_after_nms: 2154, _car_num_after_nms: 0
2024-09-27 20:38:11,672 - INFO - objects_num_before_nms: 35, objects_num_after_nms: 5, person_num_after_nms: 3, car_num_after_nms: 1 -> _objects_num_before_nms: 24340, _objects_num_after_nms: 2236, _person_num_after_nms: 2235, _car_num_after_nms: 0
2024-09-27 20:38:16,981 - INFO - objects_num_before_nms: 43, objects_num_after_nms: 6, person_num_after_nms: 5, car_num_after_nms: 1 -> _objects_num_before_nms: 23742, _objects_num_after_nms: 2116, _person_num_after_nms: 2116, _car_num_after_nms: 0
2024-09-27 20:38:22,548 - INFO - objects_num_before_nms: 69, objects_num_after_nms: 7, person_num_after_nms: 5, car_num_after_nms: 1 -> _objects_num_before_nms: 23921, _objects_num_after_nms: 2198, _person_num_after_nms: 2198, _car_num_after_nms: 0
2024-09-27 20:38:28,139 - INFO - objects_num_before_nms: 76, objects_num_after_nms: 7, person_num_after_nms: 6, car_num_after_nms: 0 -> _objects_num_before_nms: 23177, _objects_num_after_nms: 2068, _person_num_after_nms: 2067, _car_num_after_nms: 1
2024-09-27 20:38:33,916 - INFO - objects_num_before_nms: 75, objects_num_after_nms: 7, person_num_after_nms: 6, car_num_after_nms: 0 -> _objects_num_before_nms: 23346, _objects_num_after_nms: 2092, _person_num_after_nms: 2092, _car_num_after_nms: 0
2024-09-27 20:38:39,345 - INFO - objects_num_before_nms: 85, objects_num_after_nms: 8, person_num_after_nms: 6, car_num_after_nms: 2 -> _objects_num_before_nms: 24172, _objects_num_after_nms: 1915, _person_num_after_nms: 1915, _car_num_after_nms: 0
2024-09-27 20:38:44,670 - INFO - objects_num_before_nms: 110, objects_num_after_nms: 10, person_num_after_nms: 6, car_num_after_nms: 3 -> _objects_num_before_nms: 24430, _objects_num_after_nms: 1903, _person_num_after_nms: 1902, _car_num_after_nms: 0
2024-09-27 20:38:50,013 - INFO - objects_num_before_nms: 88, objects_num_after_nms: 7, person_num_after_nms: 5, car_num_after_nms: 1 -> _objects_num_before_nms: 22440, _objects_num_after_nms: 1970, _person_num_after_nms: 1970, _car_num_after_nms: 0
2024-09-27 20:38:55,372 - INFO - objects_num_before_nms: 69, objects_num_after_nms: 9, person_num_after_nms: 8, car_num_after_nms: 1 -> _objects_num_before_nms: 22819, _objects_num_after_nms: 1814, _person_num_after_nms: 1814, _car_num_after_nms: 0
2024-09-27 20:39:00,731 - INFO - objects_num_before_nms: 89, objects_num_after_nms: 9, person_num_after_nms: 7, car_num_after_nms: 1 -> _objects_num_before_nms: 21852, _objects_num_after_nms: 1758, _person_num_after_nms: 1758, _car_num_after_nms: 0
2024-09-27 20:39:05,953 - INFO - objects_num_before_nms: 54, objects_num_after_nms: 5, person_num_after_nms: 3, car_num_after_nms: 1 -> _objects_num_before_nms: 22029, _objects_num_after_nms: 1898, _person_num_after_nms: 1897, _car_num_after_nms: 0
2024-09-27 20:39:11,381 - INFO - objects_num_before_nms: 53, objects_num_after_nms: 5, person_num_after_nms: 3, car_num_after_nms: 1 -> _objects_num_before_nms: 22623, _objects_num_after_nms: 1981, _person_num_after_nms: 1980, _car_num_after_nms: 0
2024-09-27 20:39:16,607 - INFO - objects_num_before_nms: 53, objects_num_after_nms: 6, person_num_after_nms: 4, car_num_after_nms: 1 -> _objects_num_before_nms: 22671, _objects_num_after_nms: 2040, _person_num_after_nms: 2040, _car_num_after_nms: 0
2024-09-27 20:39:21,622 - INFO - objects_num_before_nms: 38, objects_num_after_nms: 6, person_num_after_nms: 4, car_num_after_nms: 1 -> _objects_num_before_nms: 21595, _objects_num_after_nms: 1870, _person_num_after_nms: 1870, _car_num_after_nms: 0
2024-09-27 20:39:26,774 - INFO - objects_num_before_nms: 61, objects_num_after_nms: 6, person_num_after_nms: 4, car_num_after_nms: 1 -> _objects_num_before_nms: 22170, _objects_num_after_nms: 1954, _person_num_after_nms: 1953, _car_num_after_nms: 0
2024-09-27 20:39:32,089 - INFO - objects_num_before_nms: 34, objects_num_after_nms: 5, person_num_after_nms: 3, car_num_after_nms: 1 -> _objects_num_before_nms: 21565, _objects_num_after_nms: 1754, _person_num_after_nms: 1752, _car_num_after_nms: 0
2024-09-27 20:39:37,294 - INFO - objects_num_before_nms: 30, objects_num_after_nms: 4, person_num_after_nms: 3, car_num_after_nms: 1 -> _objects_num_before_nms: 22103, _objects_num_after_nms: 1731, _person_num_after_nms: 1731, _car_num_after_nms: 0
2024-09-27 20:39:42,704 - INFO - objects_num_before_nms: 40, objects_num_after_nms: 5, person_num_after_nms: 3, car_num_after_nms: 1 -> _objects_num_before_nms: 22949, _objects_num_after_nms: 2026, _person_num_after_nms: 2025, _car_num_after_nms: 0
2024-09-27 20:39:48,205 - INFO - objects_num_before_nms: 34, objects_num_after_nms: 4, person_num_after_nms: 2, car_num_after_nms: 1 -> _objects_num_before_nms: 23136, _objects_num_after_nms: 1950, _person_num_after_nms: 1950, _car_num_after_nms: 0
2024-09-27 20:39:53,635 - INFO - objects_num_before_nms: 34, objects_num_after_nms: 4, person_num_after_nms: 3, car_num_after_nms: 1 -> _objects_num_before_nms: 23388, _objects_num_after_nms: 2240, _person_num_after_nms: 2239, _car_num_after_nms: 0
2024-09-27 20:39:58,768 - INFO - objects_num_before_nms: 37, objects_num_after_nms: 4, person_num_after_nms: 2, car_num_after_nms: 1 -> _objects_num_before_nms: 21895, _objects_num_after_nms: 1768, _person_num_after_nms: 1768, _car_num_after_nms: 0
2024-09-27 20:40:03,796 - INFO - objects_num_before_nms: 27, objects_num_after_nms: 5, person_num_after_nms: 3, car_num_after_nms: 1 -> _objects_num_before_nms: 21837, _objects_num_after_nms: 1978, _person_num_after_nms: 1978, _car_num_after_nms: 0
2024-09-27 20:40:09,032 - INFO - objects_num_before_nms: 37, objects_num_after_nms: 4, person_num_after_nms: 2, car_num_after_nms: 1 -> _objects_num_before_nms: 23207, _objects_num_after_nms: 1894, _person_num_after_nms: 1893, _car_num_after_nms: 0
2024-09-27 20:40:14,439 - INFO - objects_num_before_nms: 31, objects_num_after_nms: 5, person_num_after_nms: 3, car_num_after_nms: 1 -> _objects_num_before_nms: 23004, _objects_num_after_nms: 2043, _person_num_after_nms: 2043, _car_num_after_nms: 0
2024-09-27 20:40:20,012 - INFO - objects_num_before_nms: 40, objects_num_after_nms: 6, person_num_after_nms: 4, car_num_after_nms: 1 -> _objects_num_before_nms: 22550, _objects_num_after_nms: 1924, _person_num_after_nms: 1924, _car_num_after_nms: 0
2024-09-27 20:40:25,348 - INFO - objects_num_before_nms: 36, objects_num_after_nms: 5, person_num_after_nms: 3, car_num_after_nms: 1 -> _objects_num_before_nms: 21240, _objects_num_after_nms: 1568, _person_num_after_nms: 1568, _car_num_after_nms: 0
2024-09-27 20:40:30,543 - INFO - objects_num_before_nms: 17, objects_num_after_nms: 3, person_num_after_nms: 2, car_num_after_nms: 0 -> _objects_num_before_nms: 22827, _objects_num_after_nms: 1910, _person_num_after_nms: 1910, _car_num_after_nms: 0
2024-09-27 20:40:35,625 - INFO - objects_num_before_nms: 2, objects_num_after_nms: 1, person_num_after_nms: 1, car_num_after_nms: 0 -> _objects_num_before_nms: 20771, _objects_num_after_nms: 1546, _person_num_after_nms: 1546, _car_num_after_nms: 0
