2024-09-27 20:34:34,676 - INFO - objects_num_before_nms: 57, objects_num_after_nms: 4, person_num_after_nms: 2, car_num_after_nms: 2 -> _objects_num_before_nms: 19814, _objects_num_after_nms: 1503, _person_num_after_nms: 1502, _car_num_after_nms: 0
2024-09-27 20:34:34,878 - INFO - objects_num_before_nms: 61, objects_num_after_nms: 4, person_num_after_nms: 2, car_num_after_nms: 2 -> _objects_num_before_nms: 19824, _objects_num_after_nms: 1515, _person_num_after_nms: 1513, _car_num_after_nms: 0
2024-09-27 20:34:41,786 - INFO - objects_num_before_nms: 95, objects_num_after_nms: 8, person_num_after_nms: 3, car_num_after_nms: 5 -> _objects_num_before_nms: 19978, _objects_num_after_nms: 1667, _person_num_after_nms: 1667, _car_num_after_nms: 0
2024-09-27 20:34:41,999 - INFO - objects_num_before_nms: 100, objects_num_after_nms: 8, person_num_after_nms: 5, car_num_after_nms: 3 -> _objects_num_before_nms: 19967, _objects_num_after_nms: 1673, _person_num_after_nms: 1673, _car_num_after_nms: 0
2024-09-27 20:34:48,929 - INFO - objects_num_before_nms: 132, objects_num_after_nms: 10, person_num_after_nms: 6, car_num_after_nms: 3 -> _objects_num_before_nms: 20097, _objects_num_after_nms: 1572, _person_num_after_nms: 1571, _car_num_after_nms: 0
2024-09-27 20:34:49,135 - INFO - objects_num_before_nms: 113, objects_num_after_nms: 10, person_num_after_nms: 6, car_num_after_nms: 3 -> _objects_num_before_nms: 20060, _objects_num_after_nms: 1582, _person_num_after_nms: 1582, _car_num_after_nms: 0
2024-09-27 20:34:55,845 - INFO - objects_num_before_nms: 124, objects_num_after_nms: 11, person_num_after_nms: 6, car_num_after_nms: 4 -> _objects_num_before_nms: 20084, _objects_num_after_nms: 1478, _person_num_after_nms: 1478, _car_num_after_nms: 0
2024-09-27 20:34:56,044 - INFO - objects_num_before_nms: 171, objects_num_after_nms: 12, person_num_after_nms: 7, car_num_after_nms: 4 -> _objects_num_before_nms: 20009, _objects_num_after_nms: 1506, _person_num_after_nms: 1506, _car_num_after_nms: 0
2024-09-27 20:35:02,944 - INFO - objects_num_before_nms: 125, objects_num_after_nms: 11, person_num_after_nms: 7, car_num_after_nms: 3 -> _objects_num_before_nms: 19760, _objects_num_after_nms: 1483, _person_num_after_nms: 1482, _car_num_after_nms: 0
2024-09-27 20:35:03,141 - INFO - objects_num_before_nms: 133, objects_num_after_nms: 12, person_num_after_nms: 9, car_num_after_nms: 2 -> _objects_num_before_nms: 19623, _objects_num_after_nms: 1475, _person_num_after_nms: 1473, _car_num_after_nms: 0
2024-09-27 20:35:10,082 - INFO - objects_num_before_nms: 154, objects_num_after_nms: 10, person_num_after_nms: 9, car_num_after_nms: 1 -> _objects_num_before_nms: 19891, _objects_num_after_nms: 1359, _person_num_after_nms: 1358, _car_num_after_nms: 0
